team_no,team_name,team_captain,team_member,2018-04-02,2018-04-03,2018-04-04,2018-04-05,2018-04-06,2018-04-07,2018-04-08,2018-04-09,2018-04-10,2018-04-11,2018-04-12,2018-04-13,2018-04-14,2018-04-15,2018-04-16,2018-04-17,2018-04-18,2018-04-19,2018-04-20,2018-04-21,2018-04-22,2018-04-23,2018-04-24,2018-04-25,2018-04-26,2018-04-27,2018-04-28,2018-04-29
10,Will Walk for Wine,FALSE,10-4,4747,4867,10397,6835,7188,6945,10353,6346,4851,3150,3392,5013,7885,9959,7749,11921,10750,5167,5524,9723,9509,4515,6710,6251,7667,6685,4856,4533
10,Will Walk for Wine,FALSE,10-5,4670,3127,12470,7600,11795,2464,21638,2489,8548,3263,4534,8335,6405,5968,6565,7086,4970,4925,2747,117,4958,5866,7426,7482,7113,7034,41,2879
11,"11,111 to No. 1",TRUE,11-1,8427,12787,8874,2461,7452,4651,10274,3159,11091,7308,6930,11018,14046,10175,6140,1356,10350,4472,6949,290,320,9170,,,,,,
11,"11,111 to No. 1",FALSE,11-2,9564,20150,14381,11193,9935,13645,7322,12583,9345,10315,10313,8434,15413,15697,8406,9103,16007,13331,11064,10292,15206,7785,9237,15394,8310,12262,6424,11662
11,"11,111 to No. 1",FALSE,11-3,8113,8284,16480,6973,11010,10198,14194,12149,8378,5354,11963,15565,16121,14949,12832,9286,8482,7451,9049,15046,7567,7913,9968,11133,5477,7267,10463,8110
11,"11,111 to No. 1",FALSE,11-4,4470,4732,4867,7381,10515,16934,15521,11002,14643,8035,7559,7654,6556,16130,6284,4887,2998,4882,6383,24020,10980,7981,4359,5848,5719,4849,6039,9757
11,"11,111 to No. 1",FALSE,11-5,12606,12262,14032,8168,15062,11900,12303,12367,15602,7699,12712,13149,12643,14047,15516,11375,17796,12161,11415,17771,12167,10954,15957,16303,9705,7801,9670,9916
12,Scrambled Legs,FALSE,12-1,11991,9667,13554,8850,14501,13410,8602,8392,6561,3495,16835,10112,13969,7485,8185,4650,4225,7035,8916,21197,11125,13844,6841,9342,11225,14178,9427,5992
12,Scrambled Legs,FALSE,12-2,11332,11521,12724,8321,11017,10108,11127,10435,11337,8924,15056,10356,8089,12404,6467,13215,16540,9814,13567,9236,8549,8545,10497,12881,9662,8118,9053,7126
12,Scrambled Legs,FALSE,12-3,7124,9454,12046,10157,5624,9497,11185,10071,8034,17204,8928,11015,13476,9783,18438,16493,10752,9540,12459,11878,12261,12328,15103,6192,11252,17204,10091,8773
12,Scrambled Legs,FALSE,12-4,5188,5299,8748,5592,6689,7241,4196,5785,11555,9412,7613,8607,7486,15907,7465,6355,7842,4978,7625,2285,7069,6787,,,,,,
12,Scrambled Legs,TRUE,12-5,20592,19092,20154,17551,10438,19226,14786,24248,24577,21135,21846,14786,16138,343,21853,22762,20615,4110,6299,3435,2078,5960,13194,,,,,
13,Smarty Pints,FALSE,13-1,10003,11253,24000,6650,13027,9134,6674,19353,4179,6765,9252,4051,5984,1722,5879,4299,4317,4080,3240,9055,2312,3967,2834,6517,7766,3318,5807,5114
13,Smarty Pints,FALSE,13-2,10166,7333,13278,7034,12428,4152,4762,20641,17698,23264,24754,21951,19814,10297,,,,,,,,,,,,,,
13,Smarty Pints,FALSE,13-3,9311,4711,11085,4426,1635,1495,16395,18993,9371,13832,11324,10242,14231,5772,10262,12526,,,,,,,,,,,,
13,Smarty Pints,TRUE,13-4,13880,17436,18092,18089,19117,12453,7883,7795,16531,6200,8882,7822,8253,7731,18922,21463,14563,13433,10143,5678,4527,22371,16636,,,,,
13,Smarty Pints,FALSE,13-5,6229,8772,6815,9598,5169,8327,11633,5098,7396,3013,9215,8513,4402,10973,4923,5118,8616,4693,16140,6760,7153,3818,7159,4197,12842,8780,8294,
14,,FALSE,14-1,7665,13442,15127,10702,11158,16580,12752,7429,14176,4692,16287,10416,14343,13534,3823,12855,11594,13175,4116,20587,4248,11269,5594,17626,10839,13391,23290,10965
14,,FALSE,14-2,,6076,8365,13014,16050,7265,8690,12492,10100,8352,14117,14317,15684,4678,17677,15898,3564,16544,12659,10634,2065,18566,6632,9739,16554,10234,1055,8066
14,,FALSE,14-3,11328,4887,5037,13627,6243,14736,5100,11238,4886,3964,5764,10180,3259,6302,4537,7275,78,2969,1989,11312,5910,,,,,,,
14,,FALSE,14-4,942,7664,2600,10054,,7397,,,,15585,15000,11000,,,,,,,,,,,,,,,,
14,,FALSE,14-5,3175,3853,4174,6633,1553,1675,3265,4693,2987,4383,2640,922,2791,4261,4999,3032,4678,3701,5082,5665,6311,3983,2954,3960,3343,3862,6578,3139
